score,author,content,description,publishedAt,source,title,url,urlToImage
13,Annabelle Timsit,The murder of Saudi journalist Jamal Khashoggi inside the Saudi consulate in Istanbul on Oct. 2 has sparked an international crisis that came to an underwhelming head this morning (Oct. 23) with a parliamentary speech by Turkish president Recep Tayyip Erdoan.… [+2943 chars],The murder of Saudi journalist Jamal Khashoggi inside the Saudi consulate in Istanbul on Oct. 2 has sparked an international crisis that came to an…,2018-10-23T11:05:42Z,"{'id': None, 'name': 'Qz.com'}",All the most important details from Erdogan’s speech about the murder of Jamal Khashoggi,https://qz.com/1433388/what-erdogans-speech-tells-us-about-khashoggis-murder/,https://cms.qz.com/wp-content/uploads/2018/10/All-the-most-important-details-from-Erdogans-speech-e1540288855438.jpg?quality=75&strip=all&w=1400
14,Joshua Eaton,"Saudi Arabia murdered dissident journalist Jamal Khashoggi inside its consulate in Istanbul, unnamed Turkish officials told Reuters and The Washington Post. “We believe that the murder was premeditated and the body was subsequently moved out of the consulate,… [+3721 chars]","Saudi Arabia murdered dissident journalist Jamal Khashoggi inside its consulate in Istanbul, unnamed Turkish officials told Reuters and The Washington Post. “We believe that the murder was premeditated and the body was subsequently moved out of the consulate,…",2018-10-07T17:39:46Z,"{'id': None, 'name': 'Thinkprogress.org'}",Report: Saudi Arabia murdered journalist inside its consulate in Turkey,https://thinkprogress.org/report-saudi-arabia-murdered-journalist-inside-its-consulate-in-turkey-1f083e4b45b9/,https://thinkprogress.org/wp-content/uploads/2018/10/GettyImages-1045908588.jpg?w=1280&h=720&crop=1
15,Jamal Elshayyal,"Jamal Khashoggi has been missing for five days. ""The initial assessment of the Turkish police is that Mr Khashoggi has been killed at the consulate of Saudi Arabia in Istanbul. We believe that the murder was premeditated and the body was subsequently moved ou… [+464 chars]",Turkish security sources say the missing journalist may have been killed and his body moved out of the consulate.,2018-10-07T15:12:05Z,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Saudi Arabia denies killing of Kashoggi inside Turkey consulate,https://www.aljazeera.com/news/2018/10/saudi-arabia-denies-killing-kashoggi-turkey-consulate-181007151205783.html,/mritems/images/2018/10/7/665003303001_5845571819001_5845557503001-th.jpg
16,Shona Ghosh,"Japanese conglomerate SoftBank is under intense scrutiny over its plans to raise a second $100 billion technology investment fund with $45 billion from Saudi Arabia. SoftBank is already one of the world's biggest tech investors through its first Vision Fund, … [+1758 chars]","Japanese conglomerate and tech investor SoftBank is under scrutiny over its ties to Saudi Arabia, a major backer of its $100 billion Vision Fund. That is thanks to global outcry over the status of missing Saudi journalist Jamal Khashoggi, who is feared dead a…",2018-10-18T11:16:16Z,"{'id': 'business-insider', 'name': 'Business Insider'}",The fate of missing journalist Jamal Khashoggi hangs over SoftBank as it looks to raise another $100 billion fund,https://www.businessinsider.com/jamal-khashoggi-softbank-second-100-billion-fund-2018-10,https://amp.businessinsider.com/images/5bc85c217e423910941fd203-1920-960.jpg
17,Bloomberg,"By: Bloomberg | Published: October 10, 2018 10:59:23 pm FILE – In this Feb. 1, 2015, file photo, Saudi journalist Jamal Khashoggi speaks during a press conference in Manama, Bahrain.(AP) President Donald Trump said he has spoken with Saudi Arabia at the highe… [+3222 chars]",Donald Trump said that Khashoggi’s fiancée had sent him a letter and may come to the White House soon.,2018-10-10T17:29:23Z,"{'id': None, 'name': 'Indianexpress.com'}",Donald Trump demands answers from Saudi ally about missing journalist Jamal Khashoggi,https://indianexpress.com/article/world/donald-trump-demands-answers-from-saudi-ally-about-missing-journalist-jamal-khashoggi-5396292/,https://images.indianexpress.com/2018/10/khashoggi-1.jpg?w=759
18,Reuters Editorial,"DUBAI (Reuters) - The United Arab Emirates on Saturday backed Saudi Arabia’s statement about the death of Saudi journalist Jamal Khashoggi, the official news agency WAM said. The Gulf Arab state “commends directives and decisions of Saudi King Salman on the i… [+305 chars]","The United Arab Emirates on Saturday backed Saudi Arabia's statement about the death of Saudi journalist Jamal Khashoggi, the official news agency WAM said.",2018-10-20T09:50:43Z,"{'id': 'reuters', 'name': 'Reuters'}",UAE voices support for Saudi king statement on journalist's death: WAM,https://www.reuters.com/article/us-saudi-khashoggi-emirates/uae-voices-support-for-saudi-king-statement-on-journalists-death-wam-idUSKCN1MU0CO,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png
19,Lambert Strether,"This is Naked Capitalism fundraising week. 694 donors have already invested in our efforts to combat corruption and predatory conduct, particularly in the financial realm. Please join us and participate via our donation page, which shows how to give via check… [+5533 chars]","Our popular daily links, including Sears, equities, Google and carbon, Bitcoin, climate change, Brexit mandarins, German elections, Kashoggi scandal, Trump on 60 minutes, financial toxicity of cancer, the liberal world order, billionaires, textiles",2018-10-15T10:55:18Z,"{'id': None, 'name': 'Nakedcapitalism.com'}",Links 10/15/18,https://www.nakedcapitalism.com/2018/10/links-10-15-18.html,https://www.nakedcapitalism.com/wp-content/uploads/2018/10/cat_couple.jpg
20,Lambert Strether,"This is Naked Capitalism fundraising week. 817 donors have already invested in our efforts to combat corruption and predatory conduct, particularly in the financial realm. Please join us and participate via our donation page, which shows how to give via check… [+5915 chars]","Our popular daily links, including cheese, hurricanes, climate change, the F-22, no-deal Brexit, the Kashoggi affair, Syria, Bezos, Eric Holder, affluent cities, Uber, Apple, Big Tech",2018-10-16T10:55:56Z,"{'id': None, 'name': 'Nakedcapitalism.com'}",Links 10/16/18,https://www.nakedcapitalism.com/2018/10/links-10-16-18.html,https://www.nakedcapitalism.com/wp-content/uploads/2018/10/racoon_2.jpg
21,Lambert Strether,"This is Naked Capitalism fundraising week. 552 donors have already invested in our efforts to combat corruption and predatory conduct, particularly in the financial realm. Please join us and participate via our donation page, which shows how to give via check… [+7201 chars]","Our popular daily links, including nuts for the winter, Hurricane Michael, climate change, Goldman Sachs, Vanguard, Brexit machinations, the Saudis and Kashoggi, India, liberals, Medicare for All, ""good men,"" Amazon, ICANN, soil",2018-10-14T10:55:58Z,"{'id': None, 'name': 'Nakedcapitalism.com'}",Links 10/14/18,https://www.nakedcapitalism.com/2018/10/links-10-14-18.html,https://www.nakedcapitalism.com/wp-content/uploads/2018/10/hawk_2.jpg
22,"Michael Lynch, Contributor, Michael Lynch, Contributor https://www.forbes.com/sites/michaellynch/","Share to facebook Share to twitter Share to linkedin Close-up of a small bronze statuette of Lady Justice before a Saudi Arabian flag. This morning, oil prices were up for a while based on the perceived threat by Saudi Arabia to employ its oil weapon against … [+6552 chars]",The war of words between Saudi Arabia and the U.S. is unlikely to see the appearnce of the 'oil weapon',2018-10-15T14:51:00Z,"{'id': None, 'name': 'Forbes.com'}",Is The Oil Weapon Rearing Its Ugly Head In The Kashoggi Affair?,https://www.forbes.com/sites/michaellynch/2018/10/15/is-the-oil-weapon-rearing-its-ugly-head-in-the-kashoggi-affair/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F1051742846%2F960x0.jpg%3Ffit%3Dscale
23,"Melik Kaylan, Contributor, Melik Kaylan, Contributor https://www.forbes.com/sites/melikkaylan/",Almost everything we know about what actually happened in the Saudi Consulate comes from the Turks. Make that everything we know. And make that what we think we know. One thing is certain at this point. The US-based Saudi journalist Jamal Kashoggi is dead. Th… [+11534 chars],"The Turks released Brunson, but on the same day they started to leak the details of Kashoggi's disappearance. Ankara to the White House: we can wreck your economy too, watch this. To the tune of (in President Trump's estimate) losing $100 billion worth of Sau…",2018-10-19T00:00:00Z,"{'id': None, 'name': 'Forbes.com'}",The Secret History Of The Saudi Consulate Affair: Turkey's Counter-Attack,https://www.forbes.com/sites/melikkaylan/2018/10/18/the-secret-history-of-the-saudi-consulate-affair-turkeys-counter-attack/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F597647006%2F960x0.jpg%3Ffit%3Dscale
24,https://www.facebook.com/bbcnews,"Image copyright Rob Kim Sir Richard Branson has halted talks over $1bn Saudi investment in Virgin space firms after the disappearance of Saudi journalist Jamal Khashoggi. Sir Richard has also suspended directorships in two tourism projects. Mr Khashoggi, a no… [+2560 chars]",BBC News Jamal Khashoggi: Branson halts $1bn Saudi investment talks BBC News Sir Richard Branson has halted talks over $1bn Saudi investment in Virgin space firms after the disappearance of Saudi journalist Jamal Khashoggi. Sir Richard has also suspended dire…,2018-10-12T07:18:45Z,"{'id': None, 'name': 'Bbc.com'}",Jamal Khashoggi: Branson halts $1bn Saudi investment talks - BBC News,https://www.bbc.com/news/business-45833910,https://ichef.bbci.co.uk/news/1024/branded_news/E4F5/production/_103831685_branson.jpg
25,,"WASHINGTON Missing Saudi journalist Jamal Khashoggi checked his cellphone just before entering the Saudi consulate in Istanbul last week, but never read messages sent to him minutes later, screenshots obtained by NBC News show. The screenshots of WhatsApp mes… [+5877 chars]","Saudi dissident Jamal Khashoggi checked his phone before entering the Saudi consulate in Istanbul, but didn't see messages sent minutes later.",2018-10-11T08:30:59Z,"{'id': 'nbc-news', 'name': 'NBC News'}",Screenshots show Khashoggi did not see text messages after entering Saudi consulate,https://www.nbcnews.com/news/world/screenshots-show-khashoggi-did-not-see-text-messages-after-entering-n918856,https://static.euronews.com/articles/3370370/1000x563_3370370.jpg
26,,"Saudi Arabia's ambassador to Turkey was summoned to the foreign ministry after a prominent journalist critical of Riyadh went missing, a Turkish diplomatic source said on Thursday. Jamal Khashoggi, a contributor to the Washington Post, went to the Saudi consu… [+1731 chars]","Yahoo News Turkey summons Saudi ambassador over missing journalist Yahoo News Saudi Arabia's ambassador to Turkey was summoned to the foreign ministry after a prominent journalist critical of Riyadh went missing, a Turkish diplomatic source said on Thursday. …",2018-10-04T11:58:56Z,"{'id': None, 'name': 'Yahoo.com'}",Turkey summons Saudi ambassador over missing journalist - Yahoo News,https://au.news.yahoo.com/turkey-summons-saudi-ambassador-over-missing-journalist-115051243--spt.html,https://s.yimg.com/uu/api/res/1.2/fHDcDMVBIcSJX69u2g5lqw--~B/aD0zNDE7dz01MTI7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en_AU/Sports/Agence-FrancePresse/adfaa6385306981a23748f77a561f47300ea9ec5.jpg
27,"Alastair Jamieson, Kristina Jovanovski, Associated Press, Reuters","Neither the Turks nor the Saudis are credible, said Steven A. Cook, a senior fellow for Middle East and Africa Studies at the Council on Foreign Relations. Both have sought to delegitimize domestic and international critics with propaganda, half-truths and ou… [+6171 chars]","NBCNews.com Khashoggi mystery exposes rifts between US allies Turkey, Saudi Arabia NBCNews.com LONDON — The mysterious disappearance of Washington Post contributor Jamal Khashoggi marks not only a low point for global press freedom but also a widening fault l…",2018-10-10T09:46:00Z,"{'id': 'nbc-news', 'name': 'NBC News'}","Khashoggi mystery exposes rifts between US allies Turkey, Saudi Arabia - NBCNews.com",https://www.nbcnews.com/news/world/khashoggi-mystery-exposes-rifts-between-u-s-allies-turkey-saudi-n918431,https://media3.s-nbcnews.com/j/newscms/2018_41/2598836/181010-kashoggi-embassy-mc-854_e463122da75a9f2d0afee8c056d9a1dd.1200;630;7;70;5.JPG
28,Mark John,"LONDON (Reuters) - How toxic is it to be in Angela Merkel's coalition? Certainly both her partners performed poorly in yesterday's Bavarian election, with the right-wing CSU losing its accustomed majority and the centre-left slipping below 10 percent. The eme… [+6347 chars]","Montreal Gazette Daily Briefing: Merkel allies suffer in Bavaria Reuters LONDON (Reuters) - How toxic is it to be in Angela Merkel's coalition? Certainly both her partners performed poorly in yesterday's Bavarian election, with the right-wing CSU losing its a…",2018-10-15T07:42:52Z,"{'id': 'reuters', 'name': 'Reuters'}",Daily Briefing: Merkel allies suffer in Bavaria - Reuters,https://uk.reuters.com/article/uk-europe-view-monday/daily-briefing-merkel-allies-suffer-in-bavaria-idUKKCN1MP0MX,https://s4.reutersmedia.net/resources/r/?m=02&d=20181015&t=2&i=1314877283&w=1200&r=LYNXNPEE9E0DT
29,Teri Webster,A senior Saudi Arabia official on Sunday offered Reuters news yet another explanation for the death of journalist Jamal Khashoggi at the Saudi consulate in Istanbul earlier this month. Whats the latest story? The official claims a team of 15 men acted without… [+3184 chars],A senior Saudi Arabia official on Sunday offered Reuters news yet another explanation for the death of journalist Jamal Khashoggi at the Saudi consulate in Istanbul earlier this month.What’s the latest story?The official claims a team of 15 men acted without …,2018-10-21T17:14:21Z,"{'id': None, 'name': 'Theblaze.com'}","Under growing pressure, Saudi senior official offers yet another explanation for Khashoggi death",https://www.theblaze.com/news/2018/10/21/under-growing-pressure-saudi-senior-official-offers-yet-another-explanation-for-khashoggi-death,https://www.theblaze.com/wp-content/uploads/2018/10/jamal-khashoggi-10.19-1280x720.jpg
30,By andrew.kirell@thedailybeast.com (Andrew Kirell),"As it becomes clearer the de facto ruler of Saudi Arabia was behind the gruesome torture, murder, and dismemberment of Washington Post columnist Jamal Khashoggi, President Trumps allies have ramped up efforts to paint him as a terrorist sympathizer. On Thursd… [+5833 chars]","Photo Illustration by The Daily Beast As it becomes clearer the de facto ruler of Saudi Arabia was behind the gruesome torture, murder, and dismemberment of Washington Post columnist Jamal Khashoggi, President Trump’s allies have ramped up efforts to paint hi…",2018-10-19T18:55:59Z,"{'id': None, 'name': 'Thedailybeast.com'}",Fox News Spent the Past Week Repeatedly Emphasizing Jamal Khashoggi Once Supported the Muslim Brotherhood,https://www.thedailybeast.com/fox-news-spent-the-past-week-repeatedly-emphasizing-jamal-khashoggi-once-supported-the-muslim-brotherhood,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_1440,w_2560,x_0,y_0/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1539974770/181019-Fox-Khashoggi-tease_rzdez9"
31,Bethania Palma,"CLAIM President Donald Trump and Jared Kushner have used their public offices to manipulate Gulf countries for personal gain. RATING ORIGIN In October 2018, social media users shared a meme posted by the liberal Facebook page Occupy Democrats reporting a seri… [+5231 chars]",The president's son-in-law reportedly owes a $1 billion-plus mortgage on a building he purchased on Fifth Avenue in 2007.,2018-10-18T19:14:32Z,"{'id': None, 'name': 'Snopes.com'}",Did President Trump Strong Arm Qatar Into Bailing Out Jared Kushner?,https://www.snopes.com/fact-check/trump-kushner-qatar/,https://us-east-1.tchyn.io/snopes-production/uploads/2018/10/corruption.jpg
32,Tonda MacCharles - Ottawa Bureau,OTTAWA—Prime Minister Justin Trudeau suggested Monday his government is looking at freezing export permits to Saudi Arabia as pressure mounted on the Canadian government to follow Germany’s lead and suspend arms sales in the wake of the murder of Washington P… [+4134 chars],Prime minister says his government is working with G7 allies to coordinate a response to the Washington Post journalist’s death.,2018-10-22T22:48:36Z,"{'id': None, 'name': 'Thestar.com'}",Trudeau hints at freezing arms export permits to Saudi Arabia in wake of Kashoggi death,https://www.thestar.com/politics/federal/2018/10/22/trudeau-hints-at-freezing-arms-export-permits-to-saudi-arabia-in-wake-of-kashoggi-death.html,https://images.thestar.com/WxlCrVNnXLMKdXGpSd9qFodCmnI=/753x1200/smart/filters:cb(1540264479378)/https://www.thestar.com/content/dam/thestar/politics/federal/2018/10/22/trudeau-hints-at-freezing-arms-export-permits-to-saudi-arabia-in-wake-of-kashoggi-death/kashoggi.jpg
33,Tina Casey,"Clean Power Published on October 16th, 2018 | by Tina Casey 0 October 16th, 2018 by Tina Casey The list just keeps on growing, as global companies join together in protest of the murder of journalist Jamal Kashoggi inside the Saudi consulate in Istanbul, Turk… [+5202 chars]","As the global uproar grows over the Jamal Kashoggi murder, Saudi Arabia's jewel-in-the-crown clean tech megacity Neom is caught in the crossfire",2018-10-16T15:04:04Z,"{'id': None, 'name': 'Cleantechnica.com'}",The Kashoggi Murder: Clean Tech Stakeholders Take A Stand,https://cleantechnica.com/2018/10/16/the-kashoggi-murder-clean-tech-stakeholders-take-a-stand/,https://cleantechnica.com/files/2018/10/Kashoggi-clean-tech-renewable-energy.png
34,Daniel Martin Varisco,"(MENA Tidningen) – For the past week, the news cycle on the Middle East has been focused, for obvious reasons, on the murder of the Saudi journalist Jamal Kashoggi in the Saudi consulate in Istanbul on October 2. Turkish authorities claim that they have hard … [+6022 chars]","(MENA Tidningen) - For the past week, the news cycle on the Middle East has been focused, for obvious reasons, on the murder of the Saudi journalist Jamal Kashoggi in the Saudi consulate in Istanbul on October 2. Turkish authorities claim that they have hard …",2018-10-18T04:23:28Z,"{'id': None, 'name': 'Juancole.com'}","Kashoggi, Yemen and the War on Journalism",https://www.juancole.com/2018/10/kashoggi-yemen-journalism.html,/images/2018/10/samer.jpg
35,Lester Black,"As the world learns more gruesome details about the assassination of Washington Post columnist Jamal Khashoggi (chopped fingers, torture, dismembered limbs, a plea from the Saudi consul general to ""do this outside"") Trump has used the world's greatest intelli… [+3385 chars]",Trump is still president. He's also still a grifter that lies about everything and wants to take health insurance away from poor people. Sorry. by Lester Black Chip Somodevilla / Staff • As the world learns more gruesome details about the assassination of Was…,2018-10-19T00:50:17Z,"{'id': None, 'name': 'Thestranger.com'}","Weekday Trumpdate: Trump Admits Khashoggi Is Dead, Golfs Instead of Visiting Troops, Is Still Terrible",https://www.thestranger.com/slog/2018/10/18/34100073/weekday-trumpdate-trump-admits-khashoggi-is-dead-golfs-instead-of-visiting-troops-is-still-terrible,https://media2.fdncms.com/stranger/imager/u/large/34102024/1539910476-gettyimages-1056467020.jpg
36,Rich Smith,"Last night I learned two things at the one and only debate between Democrat Kim Schrier and anti-gay, anti-choice, anti-immigrant Republican Dino Rossi. 1.) Central Washington University's campus in Ellensburg is really lovely in the fall! 2.) Schrier can han… [+8188 chars]","We're still voting for Kim now. by Rich Smith We're all still voting for Kim now. RS Last night I learned two things at the one and only debate between Democrat Kim Schrier and anti-gay, anti-choice, anti-immigrant Republican Dino Rossi. 1.) Central Washingto…",2018-10-18T19:20:00Z,"{'id': None, 'name': 'Thestranger.com'}",Kim Schrier Won Her Only Debate Against Dino Rossi,https://www.thestranger.com/slog/2018/10/18/34092243/kim-schrier-won-her-only-debate-against-dino-rossi,https://media2.fdncms.com/stranger/imager/u/large/34092254/1539887519-kim_stans.jpg
